code	name	link
1 79 410 01 39 4	Осадок при отстаивании воды от стирки делей в растворе каустической соды практически неопасный	/fkko/17941001394/
2 00 000 00 00 0	ОТХОДЫ ДОБЫЧИ ПОЛЕЗНЫХ ИСКОПАЕМЫХ	/fkko/20000000000/
2 00 100 00 00 0	Отходы проведения вскрышных работ при добыче полезных ископаемых	/fkko/20010000000/
2 00 110 00 00 0	Скальные вскрышные породы	/fkko/20011000000/
2 00 110 01 20 5	Скальные вскрышные породы силикатные практически неопасные	/fkko/20011001205/
2 00 110 02 20 5	Скальные вскрышные породы карбонатные практически неопасные	/fkko/20011002205/
2 00 110 03 20 5	Скальные вскрышные породы кремнистые практически неопасные	/fkko/20011003205/
2 00 110 04 20 5	Скальные вскрышные породы сульфатные практически неопасные	/fkko/20011004205/
2 00 110 99 20 5	Скальные вскрышные породы в смеси практически неопасные	/fkko/20011099205/
2 00 120 00 00 0	Рыхлые вскрышные породы	/fkko/20012000000/
2 00 120 01 40 5	Гравийно-галечные вскрышные породы практически неопасные	/fkko/20012001405/
2 00 120 02 40 5	Песчаные вскрышные породы практически неопасные	/fkko/20012002405/
2 00 120 03 40 5	Супесчаные вскрышные породы практически неопасные	/fkko/20012003405/
2 00 120 99 40 5	Рыхлые вскрышные породы в смеси практически неопасные	/fkko/20012099405/
2 00 130 00 00 0	Связные вскрышные породы	/fkko/20013000000/
2 00 130 01 39 5	Глинистые вскрышные породы практически неопасные	/fkko/20013001395/
2 00 130 02 39 5	Суглинистые вскрышные породы практически неопасные	/fkko/20013002395/
2 00 130 99 39 5	Связные вскрышные породы в смеси практически неопасные	/fkko/20013099395/
2 00 161 21 39 5	Вскрышная порода рыхлая при проведении вскрышных работ гидромеханизированным способом	/fkko/20016121395/
2 00 190 00 00 0	Прочие вскрышные породы	/fkko/20019000000/
2 00 190 99 39 5	Вскрышные породы в смеси практически неопасные	/fkko/20019099395/
2 10 000 00 00 0	ОТХОДЫ ДОБЫЧИ ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИХ ПОЛЕЗНЫХ ИСКОПАЕМЫХ	/fkko/21000000000/
2 11 000 00 00 0	Отходы добычи и обогащения угля	/fkko/21100000000/
2 11 100 00 00 0	Отходы добычи угля открытым способом	/fkko/21110000000/
2 11 111 11 20 5	Вскрышная порода при добыче угля открытым способом	/fkko/21111111205/
2 11 116 11 39 5	Отходы извлечения угля из разубоженной породы противоточно-гравитационным методом	/fkko/21111611395/
2 11 200 00 00 0	Отходы добычи антрацита, коксующегося, бурого и других видов угля подземным способом	/fkko/21120000000/
2 11 211 01 20 5	Вскрышная пустая порода при проходке стволов шахт добычи угля	/fkko/21121101205/
2 11 221 11 20 5	Вмещающая порода при добыче угля подземным способом	/fkko/21122111205/
2 11 280 00 00 0	Отходы очистки шахтных вод и иных вод при добыче и обогащении угля	/fkko/21128000000/
2 11 280 01 33 4	Шлам угольный от механической очистки шахтных вод малоопасный	/fkko/21128001334/
2 11 281 11 39 5	Осадок механической очистки карьерных вод при добыче угля	/fkko/21128111395/
2 11 282 11 20 5	Отходы очистки флотацией шахтных вод при добыче угля	/fkko/21128211205/
2 11 288 11 39 5	Осадок механической очистки сточных вод с отвала вскрышных пород при добыче угля	/fkko/21128811395/
2 11 289 11 39 5	Осадок механической очистки смеси шахтных, карьерных, ливневых вод	/fkko/21128911395/
2 11 289 21 39 4	Осадок (ил) биологической очистки хозяйственно-бытовых и смешанных сточных вод при добыче угля	/fkko/21128921394/
2 11 300 00 00 0	Отходы обогащения антрацита, коксующегося, бурого и других видов угля	/fkko/21130000000/
2 11 310 00 00 0	Отходы при дроблении и переработке угольного сырья	/fkko/21131000000/
2 11 310 01 49 5	Отсев каменного угля в виде крошки	/fkko/21131001495/
2 11 310 02 42 4	Пыль газоочистки каменноугольная	/fkko/21131002424/
2 11 320 00 00 0	Отходы обогащения угольного сырья флотационным методом	/fkko/21132000000/
2 11 322 11 40 5	Остаток обезвоживания шламовой пульпы при флотационном обогащении угольного сырья	/fkko/21132211405/
2 11 330 00 00 0	Отходы обогащения угольного сырья гравитационными методами	/fkko/21133000000/
2 11 331 11 20 5	Отходы породы при обогащении рядового угля	/fkko/21133111205/
2 11 332 01 39 5	Отходы (шлам) мокрой классификации угольного сырья	/fkko/21133201395/
2 11 333 01 39 5	Отходы породы при обогащении угольного сырья в тяжелосредных сепараторах и отсадочных машинах	/fkko/21133301395/
2 11 380 00 00 0	Отходы очистки оборотной воды при обогащении угольного сырья	/fkko/21138000000/
2 11 381 21 20 5	Отходы (осадок) флокуляционной очистки оборотной воды при обогащении угольного сырья обезвоженный	/fkko/21138121205/
2 11 390 00 00 0	Прочие отходы обогащения антрацита, коксующегося, бурого и других видов угля	/fkko/21139000000/
